q_id,poi_name
10,Gates Substation (Arco - Gates 230 kV line)
1000,Midway-Wheeler Ridge 230 kV Line
1001,Henreitta-GWF 115kV Line
1002,Volta-South 60 kV Line
1003,Vestal-Magunden #2 220kV line
1003A,Vincent Substation 230kV
1004,Highwind Substation 220kV
1005,Merced #1 70kV Line
1006,Control Substation 115kV
1007,Los Esteros Substation 115kV
1008,Pittsburg Substation 115 kV
1009,Pittsburg Substation 60kV
101,PG&E Kern Oil-Vedder 115kV line
1010,Vasco-Herdlyn 60kV line
1011,Tesla Substation 115kV
1012,FMC Substation 115 kV
1013,Halsey Substation 60 kV
1014,Kasson-Louise 60kV Line
1015,Pleasant Grove Substation 115 kV
1016,Standard Oil Switching Station 115kV
1017,Newark Substation 115 kV
1018,Las Positas 60 kV
1019,Shingle Springs Substation 115kV
102,Coburn Sub 230 kV Bus
1020,Vaca-Vacaville-Jameson-North Tower 115kV
1021,"Stockton A #1 line 60 kV, Cogeneration National 60 kV tap"
1022,Patterson Pass 230 kV Substation
1023,Evergreen Substation  60kV
1024,Victor Substation 60 kV
1025,Jameson Substation 115 kV
1026,Weber Substation 60kV
1027,Gates Substation 230kV
102A,Cabrill0-Divide 115kV
103,Border Substation 69 kV
1031,Gates Substation 230kV
1032,Tranquillity Switchyard 230kV
1033,Arco Substation 70 kV
1034,Waukena Substation 115kV
1035,Arco Substation 70kV
1036,Mustang Switchyard 230 kV
1037,Midway-Wheeler Ridge 230 kV
1038,Arco Substation 70kV
1039,7th Standard Substation 115 kV
104,Laguna Bell Sub 230 kV Bus
1040,Hassayampa Common Bus 500 kV
1042,Cameron Substation 69 kV
1043,Creelman Substation 69 kV
1045,Otay Substation 69 kV
1046,East County Substation 138kV
1047,El Cajon Substation 69 kV
1048,Escondido Substation 69 kV
1049,ECO Substation 138kV
105,Between Rio Del Junction and Bridgeville
1050,Cameron Substation 69kV
1052,San Ysabel Substation 69kV
1053,Hassayampa Common Bus 500 kV
1054,Miguel Substation 230kV
1057,Otay Mesa Switchyard 230 kV
1058,Otay Mesa Switchyard 230 kV
1059,San Luis Rey Substation 69 kV
106,Mohave 500 kV Switchyard
1060,Boulevard East Substation 138kV
1061,Melrose Substation 69 kV
1063,Salt Creek Substation 69kV
1064,Gamebird Substation 230 kV
1065,Vista Substation 138kV
1066,Vista Substation 138kV
1067,Gamebird Substation 138kV
1068,Valley Substation 138kV
1069,SCE owned Eldorado 220 kV bus
107,Brighton-Contra Costa 115 kV
1070,Red Bluff Substation 230 kV
1071,Colorado River Substation 230 kV
1072,Devers Substation 230kV
1073,Santa Clara Substation 230 kV
1075,Whirlwind 230kV bus
1076,Whirlwind Substation 230 kV
1077,Alamitos Switching Station 220kV
1078,Ellis-Santiago 220kV line
1079,Ellis-Santiago line 220kV
108,Lambie-Contra Costa 230 kV
1081,Johanna Switchyard 230 kV
1082,Johanna Switchyard 230 kV
1084,Johanna Substation 230 kV
1087,Johanna Substation 230 kV
1089,Desert View Substation 220kV
108A,Morro Bay - Midway 230kV line
109,Pisgah Substation
1090,Imperial Valley 230kV sub
1091,Gates-Coalinga 70 kV Line #1
1092,Gates-Coalinga #2 70 kV Line
1093,Miguel 69kV
1094,115kV tap on Woodland-Davis 115kV line
1095,Valley Substation 138kV
1096,Altamont Midway 230 kV
1097,Geysers #12-Fulton 230 kV Line
1098,Birds Landing Substation 230kV
1099,Du Pont Substation 60 kV Bus
11,Wheaton Substation
110,Pisgah Substation
1100,Martin Substation 115 kV Bus
1101,Cooley Landing 60kV Substation
1102,Pittsburgh - GWF Tap #1 60kV
1103,Miller #1 115 kV line
1104,Geysers 17-Fulton 230kV transmission line
1105,230 kV bus at the Kelso Substation via the Mariposa Energy 230 kV tie line
1106,Pit 1-Cottonwood 230 kV Line
1107,Molino Substation 60kV bus
1108,East Nicolaus 115kV Substation
1109,Belotta 115 kV
111,Tap of Chevron 70kv tran line
1110,Oakland J 115kV substation bus
1111,Pittsburgh Substation 230kV
1112,Point Arena Substation 60kV
1114,Tesla to Delta Switching Yard at the Altamont-Midway Substation
1115,Shingle Springs Substation 115 kV
1116,Melones-Curtis 115 kV Line
1117,Gates Substation 230 kV
1118,Westley-Quinto 230 kV line
1119,Mendota 115kV substation
112,500 kV Imperial Valley-Miguel trans line
1122,Mercy Springs 70 kV Switching Station
1123,Panoche-Schindler #2 115 kV Line via the Cheney #1 Tap 115 kV Line
1124,Helm-Firebaugh 230kV line
1125,Coalinga No 1 Substation 70kV
1126,Henrietta Substation - 70kV
113,Birds Landing Switching Station 230kV bus
1130,Tranquility Substation 230kV
1131,New Kearny Substation 70kV bus
1132,Kearney Substation 70kV bus
1133,Cantua 115kV substation
1134,Gates-Coalinga #1 70kV line at Jacalito
1136,Kent 70 kV
1137,Kent SW STA 70 kV
1138,Kent SW STA 70 kV
114,Victor 230 kV
1140,Le Grand Substation 115kV
1142,Magunden 115 kV Substation
1143,Corcoran-Olive 115 kV Line
1144,Henrietta Substation 70kV
1145,Arco 230kV substation
1147,Famoso Substation 115kV
1148,Arco-Polonio Pass 70 kV line
115,Lugo-Pisgah 230kV line
1150,Blackwell Substation 70kV
1151,Semitropic Substation 115kV
1152,Maricopa-Copus 70kV line
1153,Morro Bay PP 230 kV
1154,New Wheeler Ridge Junction 115kV substation
1156,Santa Maria Cogen 115 kV Tap
1159,Arco-Tulare Lake 70kV line
116,Lugo-Pisgah 230kV line
1160,Arco - Polonio Pass 70kV line
1162,Olive Switching Station 115kV
1163,Lamont 115kV Substation
1164,115kV Rosedale Substation
1165,Spring Valley substation 69 kV bus
1166,Imperial Valley Substation 230 kV
1168,Encina Substation 138 kV
1169,Avocado Substation 69 kV
117,Rio Del Junction - Bridgeville
1170,Otay Mesa Switchyard 230 kV
1172,Otay Mesa Substation 230 kV bus
1175,Imperial Valley Substation 230 kV
1176,Otay Mesa Switchyard 230 kV
1177,Pala 69kV Substation
1178,Talega-Escondido 230 kv line
1179,Miguel Substation 69kV bus
118,SCE Mohave Substation
1180,New substations San Luis-Melrose 69 kV
1181,Otay Mesa Substation 230 kV Bus
1182,Border Substation 69kV Alta and Otay Mesa Road
1184,Hoodoo Wash Switchyard 500 kV
1185,Otay Mesa Switchyard 230 kV
1187,San Luis Rey Substation 69 kV
1188,Pomerado Substation 69 kV
1189,Hassayampa Common Bus 500 kV
119,Windhub Sub 230kV Bus
1190,Hassayampa 500 kV Substation
1191,Valley Center Substation 69 kV
1192,Colorado River Substation 230kV
1193,Red Bluff Substation 500 kV
1194,Colorado River Substation 230kV
1195,Blythe Energy Park #1 (BEP1) 230kV
1197,Red Bluff Switchyard 220kV
1199,Red Bluff 220kV bus
11A,Julian Hinds Substation 230kV
12,Birds Landing Sub 230kV Bus
120,Mojave 500 kV Switchyard
1202,Kramer Substation 230kV bus
1206,Jasper Substation 230kV
1209,Antelope 220kV bus
121,Miramar GT Substation 69 kV
1210,Springville Substation 220kV bus
1213,Whirlwind 230 kV substation
1214,Whirlwind Substation 230kV
1216,Vincent Substation 230 kV bus
1217,Whirlwind Substation 230kV
1218,Jointly-owned Mohave Switchyard 500kV
1219,Desert View Substation 230 kV bus
122,SDG&E Margarita Substation
1221,Geysers #3 - Cloverdale 115 kV Line
1222,Hoodoo Wash Switchyard 500 kV
1224,Mustang 230kV Switching Station
1226,230kV Tranquility Switching Station
1227,Schindler Transmission Line Tap 70 kV
1228,Malaga 115kV Bus
1229,Coalinga #2 - Coalinga #1 70 kV line Approx. 1.9 miles south of Coalinga #2 and 1 mile east of the project site
123,SDG&E Pala Substation
1231,PANOCHE 230 KV SUB
1232,Tranquility Switching Station 230kV
1233,Borden Substation 70kV
1234,New 115kV Switching Station on the Panoche - Schindler 115kV #1 line
1236,Dairyland-Mendota Transmission Line 115 kV
1238,Jayne Switch Station 70 kV
1239,Los Banos-O'Neil PGP 70 kV Line
1240,PG&E Corcoran-Guernsey 70 kV line
1241,Midway- Gates 230 kV line
1245,PG&E Kearney Sub 70 kV
1247,Coalinga #1 - San Miguel 70 kV line
1248,Dairyland-Mendota 115 kV Line
1249,Excelsior Switch Station 115 kV
125,Coolwater-Kramer 230kv line
1250,LeGrand - Dairyland 115 kV line
1251,Crescent Switching Station 70kV
1252,Cantua Substation 115 kV
1253,Stroud 70 kV Switching Station
1254,PG&E Arco Substation 70 kV
1255,Antelope Substation 70 kV
1256,Huron Substation 70 kV
1257,Lakeview Substation 70kV
1258,Midway-Wheeler Ridge #2 230 kV Line
1259,Midway-Wheeler Ridge #2 230 kV Line
126,Eldorado Substation 220kV bus
1260,Midway-Wheeler Ridge #2 230 kV Line
1261,Arco Substation 230 kV
1262,PG&E Midway Wheeler Ridge 230 kV line
1263,Smyrna Substation  115 kV
1264,SemiTropic 115 KV substation
1265,ARCO-Tulare Lake Line
1266,Apple Hill Substation (PGE) 115kV
1267,Madison 115 kV
1269,Bridgeville 115 kV
127,115kV Oleum Switchyard
1270,Vaca-Dixon 230 kV
1271,Moss Landing - Metcalf 230 kV line
1272,Weber 60 kV
1273,Cottonwood-Delevan 230 kV Line #1
1274,Crows Landing substation 60 kV
1275,Tesla 230 kV
1276,Carberry Switching Station 230kV
1277,Tesla 230 kV
1279,Table Mtn.-Butte #2 115 kV Line
128,McCall Substation
1280,PG&E Martin Substation 115kV
1281,Rio Oso - Woodland #1 115 kV line
1282,SPI 60 kV Tap of PG&E's Caribou Plumas Jct. 60 kV line near Pole 17/12
1283,Donnels-Curtis at PG&E switch 183 115vK
1284,Cortina-Mendocino  and  Cortina-Eagle Rock 115kV Lines
1285,Hoodoo Wash Switchyard 500 kV
1286,North Gila-Imperial Valley 500 kV line
1287,Suncrest - Ocotillo 500 kV line
1288,Hoodoo Wash Switchyard 500 kV
1289,Encina Substation 138kV
129,Pisgah 230kV Substation
1290,Otay Mesa substation 230 kV
1292,Border Substation 69 kV
1293,Hoodoo Wash Switchyard 500 kV
1294,Melrose Substation 69 kV
1295,Devers Substation 230kV
1296,Delaney-Colorado River Line 500kV
1297,Colorado River 230 kV SUB
1298,Delaney-Colorado River Line 500kV
1299,El Casco 230 kV
13,Lake Hodges Metering Switchyard 69 kV
130,Mohave Generating Station
1300,Devers 230 kV Substation
1301,Red Bluff 230kV
1303,"Lighthipe substation  Batteries, Inverters, Step Up Transformer and a 220 kV gen tie line"
1304,Cool WaterDunn Siding Baker Mount Pass Ivanpah 115 kV Line
1306,Kramer 230 KV SUB
1307,KRAMER 230 KV SUB
1308,Coolwater Substation 115kV
1309,Kramer 230 kV
131,Eldorado-Baker-Cool Water-Dunn Siding-Mountain Pass 115kV line
1310,Kramer 230 kV
1311,Kramer 230kV
1312,Coolwater Substation 115kV
1317,Highwind Substation 230kV
1318,WHIRLWIND 230 kV Sub.
132,Highwind Substation 230kV bus
1320,WINDHUB 230 KV SUB
1321,VESTAL 230 KV SUB
1325,Vincent Substation 230kV
1326,Vincent  230 kV Sub.
1328,SCE Whirlwind Substation
133,Pisgah-Lugo 230kV
1330,Antelope Substation 66kV
1333,Whirlwind 230 kV Substation
1336,Mohave Substation 500kV
1337,MOHAVE SWITCHYARD 500kV
1339,SCE owned Eldorado Bus 230kV
134,Pastoria Substation
1340,VEA Sandy Valley 138 kV
1342,Vista Substation 138 kV bus.
1343,Amargosa Sub 138 kV
1344,Gamebird Substation 230kV
1345,Innovation Substation 230kV
1346,Gamebird Substation 230kV
1347,Sloan Canyon Switching Station 230kV
1348,Otay Mesa Switchyard 230 kV
135,Lugo-Pisgah 230kV line
1351,Contra Costa switchyard 230kV
1353,Valley Springs Substation 60kV
1354,Tesla Substation 230kV
1355,Exchequer-LeGrand 115 kV
1356,Kyoho Tap 115kV
1357,Delevan-Vaca No. 2 & No. 3 230kV
1358,Delevan-Vaca No. 2& No. 3 230kV
1359,Half Moon Bay Substation 60kV
136,Etiwanda 230kV Substation
1360,Oakland C Substation 115kV
1361,Smartville-Camp Far West 60kV line
1362,Cayetano Substation 230kV
1363,Delta Switching Yard-Tesla 230 kV Line
1364,Cottonwood-Delevan #1 230kV
1365,Yuba City Cogen tap line-Pease 60kV
1366,Tesla Substation 230kV
1367,Fulton 230 kV
1368,Contra Costa Switchyard 230kV
1369,Mustang Switching Station 230kV
137,Encina Substation 230 kV
1370,Mendota Substation 115kV
1372,Schindler Substation 70kV
1373,Wilson Substation 230kV
1374,Moss Landing Substation 115kV
1378,Los Banos 70 kV
1383,Los Banos Substation 230kV
1386,Pittsburg Switchyard 230kV
1387,Borden Substation 230kV
139,SCE Rancho Vista 500kV Sub
1390,Quinto Substation 230kV
1392,Crescent Switching Station 70kV
1393,Tap on Maricopa-Copus line 70kV
1395,Wilson - Le Grand115kV
1396,Cuyama 2 Substation 70kV
1398,Wheeler Ridge 230 kV
1399,Blackwell Substation 70kV
14,Otay Mesa Switchyard 230 kV
140,Coso-Kramer 230 kV
1400,Crazy Eyes Switching Station 230kV
1401,Charleston Substation 138kV
1407,San Bernardino Substation 230kV
1408,Colorado River Substation 230kV
1409,Devers Substation 220kV
141,Rancho Vista 500 kV Substation
1410,Devers-Vista #1 230kV
1411,Mira Loma-Walnut 230kV
1412,La Cienega Substation 230kV
1415,Kramer-Inyokern-Randsburg No.1 115kV
1416,Antelope Substation 230kV
1418,Windhub Substation 230kV
142,Kramer Substation 220kV
1421,Highwind Substation 230kV
1422,Rattlesnake Switchyard 230kV
1426,Whirlwind Substation 220kV
1428,Miramar GT Switchyard 69kV
1429,Suncrest - Ocotillo 500 kV Line
143,Kramer Substation
1430,Ocean Ranch Substation
1431,Kearny West Substation 69kV
1433,Hassayampa Substation 500 kV
1434,Miramar GT Substation 69 kV
1436,Imperial Valley Substation 230kV
1438,Panoche Substation
1439,Vincent Substation 220kV
144,Kramer Substation
1440,Vincent Substation 220kV
1441,Kern Ridge Substation 115kV
1442,Llagas-Gilroy Foods 115 kV line
1444,Cortina 115 kV
1445,Pittsburg 230kV
1446,Bogue - Rio Oso 115 kV Line
1447,Schindler 115kV
1449,Kasson-Lammers 115kV
145,Eldorado 500 kV Substation
1450,Cabrillo Substation 115kV
1451,Bair Substation 60kV bus
1452,Q1244 Switching Station 230kV
1453,Q1244 Switching Station 230kV
1454,Metcalf 115 kV
1457,Los Esteros 115 kV
1458,Eastshore Station 115kV
1459,Tesla 230 kV
1460,Christie Substation 60kV
1461,Kelso-Tesla Tap 230 kV
1462,Oakland Station C 115kV
1463,Birds Landing 230 kV
1464,Greenleaf #1 Tap 115 kV
1465,Cayetano Substation 230kV
1466,Pease 60kV
1467,Kasson Station 60kV
1469,Birds Landing 230kV
1470,Mesa 230 kV
1472,Moss Landing Substation 500kV
1474,Diablo Canyon Power Plant 500kV
1475,Los Banos Substation 70kV
1476,Birds Landing Switchyard 230kV
1479,Gates 500 kV
148,Oxbow 230kV Substation
1480,Gates Sub 230kV
1481,Borden Substation 70kV
1484,Panoche 230 kV
1486,Moss Landing 230kV
1487,Moss Landing 230kV
1489,Schindler Substation 115kV
149,SCE Highwind Sub #2 (proposed) 230 kV
1490,Mesa 230kV
1491,Humboldt 115 kV
1492,Birds Landing Substation 230kV
1494,Morro Bay Substation  230kV
1497,Corcoran-Guernsey 70kV line
1498,Olive Switching Substation 115kV
15,Mountain Pass
150,Border Substation 69 kV
1501,Midway Substation 115kV
1502,Newark Station 230kV
1503,Lakeville 230kV
1507,Gold Hill 60 kV
1508,Chino Substation 230kV bus
151,Chino Substation 230kV Line
1512,Magunden-Vestal #1 230kV line
1515,Mandalay-Santa Clara 220kV
1517,Vincent Substation 230kV
152,Mesa-Divide #1 115kV line
1520,Victor Substation 230kV
1521,Lugo Substation 220kV
1525,Red Bluff Substation 500kV
1528,Devers Substation 220kV
153,Whirlwind Substation 230kV
1531,Imperial Valley Substation 230 kV
1533,Sycamore Canyon Substation 230kV
1535,Los Banos-Pacheco 70 kV Line via Dinosaur Point Tap 70 kV Line
1536,COLGATE-CHALLENGE
1537,COLGATE-CHALLENGE 60kV
1538,Geysers #3 Cloverdale 115 kV line
1539,Moss Landing 500 kV
154,Windhub 230 kV Substation
1540,Moss Landing Substation 500kV
1545,Grant Eastshore #1 115kV
1546,Elk-Gualala 60 kV
1548,Morgan Hill Substation 115kV
1549,Los Esteros Substation 115kV
155,Oakland C 115kV substation
1550,Los Esteros 230 kV
1551,Mabury Tap 115kV
1552,Martin 115 kV
1553,Metcalf 230 kV
1554,Oakland J-Grant 115kV
1555,Pittsburg Substation 230kV
1557,Ripon 115 kV
156,Lugo-Pisgah 230kV line
1564,Trimble Substation 115kV
1565,Tulucay 60 kV
1569,Coalinga Cogen Tap 70kV
157,66kV Rosamond-Antelope line
1572,Gates Substation 230kV
1574,Panoche Substation 230 kV
1578,Henrietta Substation 230kV
158,66kV Rosamond-Delsur line
1584,Wilson-Oro Loma 115 kv
1585,Olive SW Station-Smyrna 115kV
1588,Diablo Canyon Switching Station 500kV
159,Antelope-Magunden #1 220kV line
1595,Midway 230kV
1597,Midway-Wheeler Ridge 230kV
1598,SOLARSS Switching Station
1599,Morro Bay Substation 230kV
159A,East County Substation 230 kV
16,Divide-Cabrillo #2 115kV line tap
160,Kramer
1605,Chino Substation 220kV
1606,Ellis Substation 220kV
1607,Etiwanda Substation 230kV
1608,Hinson Substation 230kV
1609,Hinson Substation 220kV
