station,canonical_poi
Altamont Midway 230 kV,Altamont Midway 230 kV
Antelope Substation 220kV,Antelope Substation 220 kV
ANTELOPE Substation 220 kV,Antelope Substation 220 kV
Antelope Substation 230kV bus,Antelope Substation 230 kV
Antelope Substation 230 kV,Antelope Substation 230 kV
Antelope ValleySubstation 230 kV,Antelope Valleysubstation 230 kV
Arco 230 kV,Arco 230 kV
Arco 70 kV,Arco 70 kV
Avocado Substation 69 kV,Avocado Substation 69 kV
Beatty Substation 230 kV,Beatty Substation 230 kV
Belridge - Temblor 115 kV,Belridge-temblor 115 kV
Birds Landing 230 kV,Birds Landing 230 kV
Borden 230 kV,Borden 230 kV
Boulevard East Substation 138 kV,Boulevard East Substation 138 kV
Boulevard East Substation 69 kV,Boulevard East Substation 69 kV
Calcite Substation 230kV,Calcite Substation 230 kV
Calcite Substation 230 kV,Calcite Substation 230 kV
Carrizo Gorge Switchyard 138 kV,Carrizo Gorge Switchyard 138 kV
Cayetano 230 kV,Cayetano 230 kV
Chino Substation 230 kV,Chino Substation 230 kV
Cielo Azul Substation 500 kV,Cielo Azul Substation 500 kV
Coburn-Basic Energy 60 kV Line,Coburn-basic Energy 60 kV Line
Colorado River Substation 220kV,Colorado River Substation 220 kV
Colorado River Substation 230kV,Colorado River Substation 230 kV
Colorado River Substation 230 kV,Colorado River Substation 230 kV
Colorado River - Palo Verde 500kV,Colorado River-palo Verde 500 kV
Contra Costa PP 230 kV,Contra Costa PP 230 kV
Cortina 115 kV,Cortina 115 kV
Cortina 60 kV,Cortina 60 kV
Cottle 230 kV,Cottle 230 kV
Crazy Horse Canyon-Hollister 115 kV Line,Crazy Horse Canyon-hollister 115 kV Line
Crescent 70 kV,Crescent 70 kV
Delaney Substation 500 kV,Delaney Substation 500 kV
Delaney-Colorado River 500 kV Line,Delaney-colorado River 500 kV Line
Delta Switching Yard-Tesla 230 kV Line,Delta Switching Yard-tesla 230 kV Line
Devers Substation 220 kV,Devers Substation 220 kV
Devers Substation 230kV,Devers Substation 230 kV
Diablo Canyon 500 kV,Diablo Canyon 500 kV
East County Substation 230 kV,East County Substation 230 kV
East County Substation 500 kV,East County Substation 500 kV
El Nido Substation 230 kV,El Nido Substation 230 kV
SCE owned Eldorado Bus 230kV,Eldorado Substation 230 kV
Eldorado Substation 230kV,Eldorado Substation 230 kV
SCE portion of Eldorado Substation 230 kV,Eldorado Substation 230 kV
Escondido Substation 69 kV,Escondido Substation 69 kV
Etiwanda Substation 230 kV,Etiwanda Substation 230 kV
Excelsior 115 kV,Excelsior 115 kV
Fulton 230 kV,Fulton 230 kV
Gamebird Substation 230 kV,Gamebird Substation 230 kV
Gates 230 kV,Gates 230 kV
Gates 500 kV,Gates 500 kV
Gates-Midway 230 kV Line,Gates-midway 230 kV Line
Gates-Templeton 230 kV Line,Gates-templeton 230 kV Line
Geysers #17-Fulton 230 kV Line,Geysers #17-fulton 230 kV Line
Geysers #3-Cloverdale 115 kV Line,Geysers #3-cloverdale 115 kV Line
Giffen 70 kV,Giffen 70 kV
Gold Hill 60 kV,Gold Hill 60 kV
Green Valley 115 kV,Green Valley 115 kV
